title,artist,link
Untited (1986),Paul Furneaux,collections.ed.ac.uk/art/record/21611?highlight=*:*
Portrait of a Man (1956),Lawrence F. Baxter,collections.ed.ac.uk/art/record/21182?highlight=*:*
Untitled (1946),Dorothy M. Peach,collections.ed.ac.uk/art/record/21738?highlight=*:*
Standing Male Nude (1959),Kenneth Dingwall,collections.ed.ac.uk/art/record/21332?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21946?highlight=*:*
Ship in the Dockyard,Caroline Boyle,collections.ed.ac.uk/art/record/21502?highlight=*:*
Standing Male Nude (1939),Heather Measham,collections.ed.ac.uk/art/record/21137?highlight=*:*
Unknown (1950),Francis Curran,collections.ed.ac.uk/art/record/50505?highlight=*:*
Small Landscape (1946),Dorothy M. Peach,collections.ed.ac.uk/art/record/21069?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21867?highlight=*:*
Untitled (12 Jun 2014),John Nelson,collections.ed.ac.uk/art/record/22481?highlight=*:*
Unknown (1964),Cameron,collections.ed.ac.uk/art/record/53586?highlight=*:*
Still Life with Goblets (1959),Alan M. Alexander,collections.ed.ac.uk/art/record/22743?highlight=*:*
Seated Female Nude (1954),Elizabeth Blackadder,collections.ed.ac.uk/art/record/21409?highlight=*:*
Benin Head (1964-1964),Vincent Butler,collections.ed.ac.uk/art/record/99224?highlight=*:*
,Zygmunt Bukowski,collections.ed.ac.uk/art/record/112513?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,collections.ed.ac.uk/art/record/21139?highlight=*:*
Untitled (Unknown),J Nicoll,collections.ed.ac.uk/art/record/21728?highlight=*:*
Female Nude Seated on a Chair (1953),Margaret Ronald,collections.ed.ac.uk/art/record/20950?highlight=*:*
Standing Male Nude (1953),James Martin,collections.ed.ac.uk/art/record/20952?highlight=*:*
Unknown (1946),Alan Lefley,collections.ed.ac.uk/art/record/50486?highlight=*:*
Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,collections.ed.ac.uk/art/record/99326?highlight=*:*
Free Fall (1985),Robert Adam,collections.ed.ac.uk/art/record/21593?highlight=*:*
Parthenon Frieze in Miniature,John Henning,collections.ed.ac.uk/art/record/20584?highlight=*:*
Untitled (Unknown),Renny Tait,collections.ed.ac.uk/art/record/21723?highlight=*:*
Portrait of a Man (1959),Alan Kemp,collections.ed.ac.uk/art/record/20902?highlight=*:*
Crying (2014),Rachel Hill,collections.ed.ac.uk/art/record/47448?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,collections.ed.ac.uk/art/record/20925?highlight=*:*
Standing Woman (1950),John Parnell,collections.ed.ac.uk/art/record/21067?highlight=*:*
Unknown (1957),Alejandro B. Brasó,collections.ed.ac.uk/art/record/50602?highlight=*:*
Untitled (1967),Laurence Roche,collections.ed.ac.uk/art/record/22480?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,collections.ed.ac.uk/art/record/21248?highlight=*:*
Bust of Queen Nefertiti (Coloured),NA,collections.ed.ac.uk/art/record/20621?highlight=*:*
Unknown (1949),Richard Lovell,collections.ed.ac.uk/art/record/50488?highlight=*:*
Untitled (Unknown),Margaret Clyde,collections.ed.ac.uk/art/record/21628?highlight=*:*
